857 101
3 568 259
3 714 724
3 735 219
38 98 435
39 395 351
51 565 902
54 736 859
59 651 597
69 308 550
69 330 473
81 826 845
85 854 825
87 758 987
106 396 136
107 752 72
111 642 33
113 356 53
123 598 435
126 692 997
127 542 809
145 814 622
155 314 1
173 191 739
198 700 209
205 159 246
231 94 232
232 324 728
245 445 162
258 333 756
260 372 761
267 653 569
268 418 2
272 836 43
276 564 564
290 128 417
294 143 996
305 288 444
305 577 501
310 523 77
319 703 961
321 627 816
327 788 343
330 77 215
332 574 232
350 79 69
363 449 900
377 677 331
379 505 406
383 199 274
384 757 336
393 575 546
400 665 296
405 626 518
421 569 176
422 854 869
437 62 59
439 229 667
450 107 422
455 740 263
480 819 981
482 364 19
487 69 69
488 251 308
497 517 116
511 217 170
528 306 263
543 812 542
545 857 49
553 361 558
554 372 360
574 741 162
579 538 681
579 623 158
583 324 228
586 430 279
592 322 88
602 23 696
617 431 619
617 770 715
625 543 405
640 689 153
645 178 183
645 750 695
648 400 293
651 742 848
654 307 201
680 737 16
684 811 103
689 186 694
702 506 920
717 343 596
723 68 230
724 668 73
751 224 571
763 367 597
767 96 730
770 217 735
772 303 872
791 162 896
802 857 286
808 777 336
387
